Latitud,Longitud,Altura (m)
14.638694833333334,-90.57108516666666,1639.2
14.638701,-90.57109266666667,1639.2
14.638696166666668,-90.57110033333333,1639.2
14.6387035,-90.57108966666667,1639.1
Latitud,Longitud,Altura (m)
14.6385345,-90.57111133333333,1653.6
14.638543833333333,-90.5711145,1653.5
14.6385515,-90.57110716666666,1653.4
14.6385575,-90.57110016666667,1653.3
14.638569333333333,-90.57108283333334,1653.4
14.638553166666666,-90.571091,1653.3
14.6385485,-90.571099,1653.0
14.638555333333333,-90.57109733333333,1652.9
14.638557333333333,-90.571102,1652.5
14.638574333333333,-90.57109033333333,1652.5
Latitud,Longitud,Altura (m)
14.6387245,-90.57126466666666,1634.7
14.638723666666667,-90.57127233333334,1635.2
14.638712833333333,-90.57127466666667,1635.3
14.6387155,-90.57127183333333,1635.1
14.6387215,-90.57127533333333,1635.1
14.638716666666667,-90.5712805,1634.6
14.638721,-90.57127933333334,1634.5
14.638725166666667,-90.57127833333334,1634.2
14.638724166666666,-90.5712735,1633.6
14.638728166666667,-90.57127516666667,1633.0
Latitud,Longitud,Altura (m)
14.6387725,-90.571182,1618.4
14.6387785,-90.5711865,1619.3
14.638773,-90.57119283333333,1619.8
14.638768333333333,-90.5711925,1620.4
