UTC,Azimut,Altitud
2025-07-06T02:52:38.005238+00:00,162.61,0.00
2025-07-06T02:52:40.006716+00:00,162.59,0.11
2025-07-06T02:52:42.012085+00:00,162.57,0.23
2025-07-06T02:52:44.014103+00:00,162.55,0.35
2025-07-06T02:52:46.015576+00:00,162.53,0.47
2025-07-06T02:52:48.017741+00:00,162.51,0.59
2025-07-06T02:52:50.023138+00:00,162.49,0.71
2025-07-06T02:52:52.024661+00:00,162.47,0.84
2025-07-06T02:52:54.027064+00:00,162.45,0.96
2025-07-06T02:52:56.028673+00:00,162.42,1.09
2025-07-06T02:52:58.030364+00:00,162.40,1.21
2025-07-06T02:53:00.031781+00:00,162.38,1.34
2025-07-06T02:53:02.033280+00:00,162.36,1.46
2025-07-06T02:53:04.035207+00:00,162.34,1.59
2025-07-06T02:53:06.036392+00:00,162.31,1.71
2025-07-06T02:53:08.037583+00:00,162.29,1.84
2025-07-06T02:53:10.038832+00:00,162.27,1.97
2025-07-06T02:53:12.039993+00:00,162.24,2.10
2025-07-06T02:53:14.041264+00:00,162.22,2.23
2025-07-06T02:53:16.043014+00:00,162.20,2.36
2025-07-06T02:53:18.044514+00:00,162.17,2.49
2025-07-06T02:53:20.046830+00:00,162.15,2.62
2025-07-06T02:53:22.048384+00:00,162.13,2.75
2025-07-06T02:53:24.049998+00:00,162.10,2.88
2025-07-06T02:53:26.051374+00:00,162.08,3.01
2025-07-06T02:53:28.052700+00:00,162.05,3.15
2025-07-06T02:53:30.054416+00:00,162.03,3.28
2025-07-06T02:53:32.056090+00:00,162.00,3.42
2025-07-06T02:53:34.057792+00:00,161.98,3.55
2025-07-06T02:53:36.059251+00:00,161.95,3.69
2025-07-06T02:53:38.060408+00:00,161.93,3.83
2025-07-06T02:53:40.061617+00:00,161.90,3.96
2025-07-06T02:53:42.063184+00:00,161.87,4.10
2025-07-06T02:53:44.065006+00:00,161.85,4.24
2025-07-06T02:53:46.066744+00:00,161.82,4.38
2025-07-06T02:53:48.068309+00:00,161.79,4.52
2025-07-06T02:53:50.070004+00:00,161.77,4.66
2025-07-06T02:53:52.071597+00:00,161.74,4.80
2025-07-06T02:53:54.073085+00:00,161.71,4.95
2025-07-06T02:53:56.074623+00:00,161.68,5.09
2025-07-06T02:53:58.155893+00:00,161.66,5.23
2025-07-06T02:54:00.157453+00:00,161.63,5.39
2025-07-06T02:54:02.158686+00:00,161.60,5.53
2025-07-06T02:54:04.160007+00:00,161.57,5.68
2025-07-06T02:54:06.161641+00:00,161.54,5.83
2025-07-06T02:54:08.162890+00:00,161.51,5.97
