UTC,Azimut,Altitud
2025-08-03T16:13:58.384381+00:00,349.73,0.03
2025-08-03T16:14:00.386210+00:00,349.60,0.13
2025-08-03T16:14:02.387786+00:00,349.48,0.24
2025-08-03T16:14:04.389725+00:00,349.36,0.35
2025-08-03T16:14:06.391629+00:00,349.23,0.45
2025-08-03T16:14:08.393198+00:00,349.11,0.56
2025-08-03T16:14:10.394329+00:00,348.98,0.67
2025-08-03T16:14:12.395440+00:00,348.85,0.78
2025-08-03T16:14:14.397096+00:00,348.72,0.89
2025-08-03T16:14:16.398646+00:00,348.59,1.00
2025-08-03T16:14:18.400224+00:00,348.46,1.10
2025-08-03T16:14:20.401581+00:00,348.33,1.21
2025-08-03T16:14:22.402902+00:00,348.20,1.32
2025-08-03T16:14:24.404790+00:00,348.07,1.43
2025-08-03T16:14:26.406380+00:00,347.93,1.54
2025-08-03T16:14:28.407850+00:00,347.79,1.65
2025-08-03T16:14:30.409652+00:00,347.66,1.76
2025-08-03T16:14:32.411179+00:00,347.52,1.88
2025-08-03T16:14:34.413268+00:00,347.38,1.99
2025-08-03T16:14:36.414797+00:00,347.24,2.10
2025-08-03T16:14:38.416281+00:00,347.10,2.21
2025-08-03T16:14:40.418023+00:00,346.96,2.32
2025-08-03T16:14:42.419516+00:00,346.81,2.43
2025-08-03T16:14:44.421465+00:00,346.67,2.55
2025-08-03T16:14:46.422971+00:00,346.52,2.66
2025-08-03T16:14:48.424645+00:00,346.38,2.77
2025-08-03T16:14:50.426215+00:00,346.23,2.89
2025-08-03T16:14:52.427345+00:00,346.08,3.00
2025-08-03T16:14:54.428738+00:00,345.93,3.11
2025-08-03T16:14:56.430200+00:00,345.78,3.23
2025-08-03T16:14:58.431699+00:00,345.62,3.34
2025-08-03T16:15:00.432934+00:00,345.47,3.46
2025-08-03T16:15:02.434056+00:00,345.31,3.57
2025-08-03T16:15:04.435435+00:00,345.15,3.69
2025-08-03T16:15:06.436532+00:00,345.00,3.81
2025-08-03T16:15:08.437600+00:00,344.84,3.92
2025-08-03T16:15:10.443757+00:00,344.68,4.04
2025-08-03T16:15:12.445234+00:00,344.51,4.16
2025-08-03T16:15:14.446920+00:00,344.35,4.27
2025-08-03T16:15:16.448520+00:00,344.19,4.39
2025-08-03T16:15:18.449976+00:00,344.02,4.51
2025-08-03T16:15:20.451525+00:00,343.85,4.63
2025-08-03T16:15:22.452630+00:00,343.68,4.74
2025-08-03T16:15:24.453979+00:00,343.51,4.86
2025-08-03T16:15:26.455447+00:00,343.34,4.98
2025-08-03T16:15:28.456969+00:00,343.17,5.10
2025-08-03T16:15:30.458628+00:00,342.99,5.22
2025-08-03T16:15:32.460578+00:00,342.81,5.34
2025-08-03T16:15:34.462457+00:00,342.64,5.46
2025-08-03T16:15:36.464114+00:00,342.46,5.58
2025-08-03T16:15:38.465756+00:00,342.28,5.70
2025-08-03T16:15:40.467491+00:00,342.09,5.82
